Image,F-Measure,Pseudo-F-Measure,PSNR,DRD,Recall,Pseudo-Recall,Precision,Pseudo-Precision
1,77.205,71.2659,15.8079,5.3442,94.984,93.3181,65.0324,57.6439
10,68.7474,60.9164,13.4836,7.3731,92.7107,93.7633,54.6275,45.1127
11,53.9303,54.7139,14.0487,20.6368,50.6279,53.6752,57.6936,55.7936
12,60.2958,58.857,12.2773,17.0815,50.0162,49.4095,75.8939,72.7714
13,64.58,65.6362,13.2378,11.6117,57.6052,60.5411,73.4764,71.6678
14,16.6027,18.9948,9.7602,47.0671,9.8465,11.7478,52.9011,49.5796
15,66.1269,70.2237,15.2033,14.0926,57.7392,65.3091,77.3658,75.9381
16,73.1563,74.4422,14.93,9.1688,74.7787,80.2722,71.6029,69.4018
17,75.1938,75.9874,13.4582,13.4078,74.3066,79.0274,76.1026,73.1726
18,73.9477,77.9301,12.4303,7.2543,62.5632,69.6762,90.3972,88.4024
19,68.1769,67.2678,11.9349,9.8479,60.0144,61.0226,78.9093,74.937
2,62.9691,57.5932,15.5442,9.407,89.001,87.1734,48.7192,43.0016
20,76.5138,77.8158,15.7036,11.3047,79.4508,83.9714,73.7862,72.501
3,78.1186,75.1389,19.2954,7.4247,97.7961,98.9597,65.0333,60.5611
4,66.3598,67.6794,14.939,10.2389,74.6869,83.4162,59.7033,56.9379
5,81.5443,75.0288,15.0771,3.644,96.8153,96.6379,70.4344,61.3177
6,56.7088,49.6676,10.7869,8.3872,67.1834,62.0161,49.0599,41.4201
7,56.743,53.4225,10.8333,10.0033,67.7091,66.8152,48.8339,44.5023
8,19.7429,18.3544,12.2938,12.1322,19.0197,17.3632,20.5233,19.4656
9,39.9886,37.9198,10.561,8.389,37.6193,36.8173,42.6764,39.0903
