Image,F-Measure,Pseudo-F-Measure,PSNR,DRD,Recall,Pseudo-Recall,Precision,Pseudo-Precision
1,60.6854,67.8595,12.6697,9.5158,44.2759,52.5814,96.4205,95.652
10,95.0154,96.7778,18.5214,1.5973,93.7031,98.1576,96.365,95.4363
11,96.8278,98.2968,20.698,1.5675,95.5004,98.7832,98.1926,97.8152
12,85.3531,86.9121,15.3524,6.5341,91.9242,98.0663,79.6588,78.0361
13,69.3507,68.7367,12.2523,21.2985,95.0037,98.7241,54.606,52.7223
14,87.9325,89.4394,17.1097,5.1076,93.4276,98.8474,83.048,81.6666
15,92.2791,93.8113,16.2382,2.9903,94.0716,98.6041,90.5537,89.4629
16,95.4848,97.1625,23.1151,1.6733,94.5806,98.6156,96.4065,95.7515
17,91.0924,94.4447,20.4932,2.102,87.5453,95.4245,94.9391,93.4847
18,83.6322,88.8776,14.8992,6.8225,84.292,97.6432,82.9828,81.5561
19,91.237,95.2819,19.0158,2.7344,88.2191,97.8252,94.4686,92.8676
2,83.1141,89.5427,15.2298,6.0258,72.2991,83.0244,97.7339,97.1716
20,89.2186,92.9461,15.9762,4.2025,90.2985,99.4261,88.1643,87.2591
3,76.0062,83.9217,15.1346,6.9984,62.2941,74.0751,97.4587,96.7874
4,73.2622,81.0049,15.9026,7.3554,58.9733,70.0539,96.6895,96.0139
5,79.1073,85.1031,18.6525,6.349,67.6299,77.7453,95.2766,93.9992
6,93.6898,96.3768,15.5707,2.3288,92.596,99.2062,94.8097,93.7044
7,92.8419,95.4507,15.316,2.7385,91.7084,98.2736,94.0037,92.7855
8,90.7651,96.5261,18.6203,2.899,85.6169,97.3251,96.572,95.7402
9,90.7387,91.97,17.137,2.8246,88.6237,92.1111,92.9572,91.8293
