Image,F-Measure,Pseudo-F-Measure,PSNR,DRD,Recall,Pseudo-Recall,Precision,Pseudo-Precision
1,12.6452,18.6157,10.5568,15.8923,6.7541,10.275,98.9672,98.8924
10,90.7867,97.4681,16.1261,2.6603,84.0854,96.6738,98.6485,98.2756
11,95.383,98.8178,19.1687,2.1197,91.9194,98.7506,99.1178,98.8851
12,88.0511,92.1456,16.5684,4.3048,87.855,98.1065,88.2481,86.8676
13,77.1359,77.5427,14.0396,13.9282,93.8597,98.9505,65.4704,63.7504
14,90.2861,93.4858,18.2816,3.4256,90.9888,99.1895,89.5943,88.4023
15,92.8147,95.0814,16.6415,2.4368,92.6537,98.7027,92.9764,91.7164
16,90.3867,98.0177,20.1687,2.997,82.8741,96.924,99.3971,99.1363
17,80.9691,90.5164,17.6521,4.291,70.0613,86.5912,95.8997,94.8142
18,84.8088,92.3278,15.4385,5.4277,81.3426,97.9673,88.5836,87.3022
19,80.6611,93.9081,16.1403,5.7022,68.5222,90.6111,98.0268,97.454
2,66.4244,78.7521,12.8943,10.8197,49.7547,65.0091,99.892,99.8631
20,88.1827,94.8955,15.8048,3.9243,84.7041,99.1686,91.9593,90.9754
3,29.4885,39.7849,11.9034,15.3232,17.3065,24.8646,99.5872,99.4773
4,23.9363,32.7858,12.8745,15.2772,13.6014,19.6222,99.6682,99.608
5,46.6941,60.1337,15.7495,12.7801,30.5282,43.1631,99.2515,99.0952
6,89.3683,96.3669,13.5806,3.8432,82.8966,96.5557,96.9361,96.1788
7,87.4215,94.463,13.2089,4.804,79.8296,93.0636,96.6091,95.9052
8,85.965,95.3965,17.0302,4.3515,76.9484,94.1361,97.3752,96.691
9,80.4619,88.3695,14.4831,5.3888,68.632,81.096,97.2191,97.0763
