Image,F-Measure,Pseudo-F-Measure,PSNR,DRD,Recall,Pseudo-Recall,Precision,Pseudo-Precision
1,46.5602,55.2467,11.7959,11.7708,30.561,38.5707,97.7171,97.3248
10,95.1483,96.8724,18.6399,1.536,93.8087,98.1795,96.5268,95.5995
11,96.8021,98.3807,20.6697,1.5435,95.3264,98.7905,98.3241,97.9743
12,86.7796,88.4567,15.8676,5.6995,91.9618,98.1399,82.1503,80.5127
13,70.5117,69.8727,12.4939,20.0742,94.9637,98.8086,56.0734,54.0456
14,88.74,90.5507,17.4603,4.6299,93.2092,99.0614,84.6797,83.3867
15,93.2195,94.9686,16.8652,2.4307,93.6602,98.486,92.7828,91.6937
16,95.6776,97.4721,23.3281,1.5214,94.2606,98.4534,97.1378,96.5101
17,92.0014,94.5099,20.8792,1.9384,90.0931,96.7846,93.9924,92.3397
18,83.8638,89.6554,15.0242,6.4747,83.3067,97.387,84.4284,83.0612
19,90.7245,95.3543,18.8212,2.872,86.6759,96.9721,95.1697,93.7897
2,78.6888,86.185,14.4014,7.4906,65.6337,77.0485,98.227,97.78
20,89.5132,93.2134,16.1029,4.0619,90.4634,99.4308,88.5827,87.7278
3,65.9416,75.7239,13.9887,9.2415,49.5708,61.6812,98.4573,98.0457
4,61.0036,70.9825,14.7114,9.7985,44.2947,55.7847,97.9541,97.5621
5,74.4093,82.308,17.9974,7.4271,60.3906,71.9905,96.9039,96.0775
6,93.2785,96.7796,15.3502,2.4261,91.0555,99.0164,95.6127,94.6416
7,91.8948,95.2652,14.8474,3.1317,89.3011,97.0582,94.6437,93.5371
8,91.1732,96.618,18.7928,2.7481,86.4754,97.7073,96.4108,95.5527
9,90.7641,92.0273,17.1565,2.8158,88.495,92.0235,93.1527,92.0311
