Image Name,GPU Usage Time (s),Total Time (s)
001_Piatto anteriore.jpg,1.8783884735107423,3.4992384910583496
002_contro piatto anteriore.jpg,1.847536590576172,3.3547964096069336
003_carta di guardia anteriore r.jpg,1.8505143737792968,3.205098867416382
004_carta di guardia anteriore v.jpg,2.121379749298096,3.588463544845581
005_frontespizio  r.jpg,1.9370226593017577,3.665282249450684
006_frontespizio v.jpg,1.9396521072387696,3.450277805328369
007_a2r.jpg,1.935198699951172,3.6878628730773926
008_a2v.jpg,1.931956855773926,3.516435384750366
009_a3 r.jpg,1.9215068359375,3.578160762786865
010_a3v.jpg,1.9302466049194336,3.678435802459717
011_a4 r.jpg,1.9027376480102536,3.520728349685669
012_a4v.jpg,1.930843719482422,3.739566326141357
013_a5 r.jpg,1.7964846878051757,3.460355520248413
014_a5v.jpg,1.9311755447387695,3.757521629333496
015_a6 r.jpg,1.8090655670166016,3.4889702796936035
016_a6v.jpg,1.9318218078613285,3.735501766204834
017_a7 r.jpg,1.8933064193725584,3.641637802124024
018_a7v.jpg,1.933431396484375,3.6987619400024414
019_a8 r.jpg,1.9887482833862304,3.776122331619263
020_a8v.jpg,2.108204786300659,3.923222064971924
021_b1 r.jpg,1.7343181571960449,3.37190842628479
022_b1v.jpg,1.9325455474853517,3.694005250930786
023_b2r.jpg,1.7299022541046143,3.3795998096466064
024_b2v.jpg,1.941277030944824,3.765249729156494
025_b3r.jpg,1.7312696266174314,3.380171537399292
026_b3v.jpg,1.9870916137695311,3.7268824577331534
027_b4r.jpg,1.9167104873657224,3.542456865310669
028_b4v.jpg,1.979227325439453,3.744894504547119
029_b5r.jpg,1.9117629165649412,3.608751773834229
030_b5v.jpg,1.9979502029418943,3.791180849075317
031_b6r.jpg,1.7537850036621094,3.3979008197784424
032_b6v.jpg,1.981690116882324,3.752060890197754
033_b7r.jpg,1.928946830749512,3.680260419845581
034_b7v.jpg,1.9791872024536128,3.733046054840088
035_b8r.jpg,1.912234420776367,3.6170148849487305
036_b8v.jpg,1.9842392196655272,3.7691047191619873
037_c1r.jpg,1.8101546096801755,3.4670498371124268
038_c1v.jpg,1.9801095581054688,3.7808876037597656
039_c2r.jpg,1.8100200805664064,3.4648985862731934
