Image Name,GPU Usage Time (s),Total Time (s)
001_Piatto anteriore.jpg,1.9874137268066407,3.421106338500977
002_contro piatto anteriore.jpg,2.0037784423828127,3.4831089973449707
003_carta di guardia anteriore r.jpg,1.9536301574707031,3.1937711238861084
004_carta di guardia anteriore v.jpg,2.288726306915283,3.708207607269287
005_frontespizio  r.jpg,2.08919938659668,3.819693326950073
006_frontespizio v.jpg,2.116371864318848,3.5208077430725098
007_a2r.jpg,2.073095474243164,3.734421491622925
008_a2v.jpg,2.0786969985961914,3.575345039367676
009_a3 r.jpg,2.0652444915771486,3.625948905944824
010_a3v.jpg,2.079848159790039,3.741242647171021
011_a4 r.jpg,2.0361974334716795,3.5672502517700195
012_a4v.jpg,2.0818692779541017,3.7764651775360103
013_a5 r.jpg,1.922539360046387,3.5129590034484863
014_a5v.jpg,2.083906105041504,3.85503363609314
015_a6 r.jpg,1.9288800201416012,3.512223958969116
016_a6v.jpg,2.0824983825683594,3.779411554336548
017_a7 r.jpg,2.0379282836914063,3.663443326950073
018_a7v.jpg,2.084329551696777,3.754354238510132
019_a8 r.jpg,2.1317044906616207,3.796834945678711
020_a8v.jpg,2.27169234085083,3.9838614463806152
021_b1 r.jpg,1.8813438262939453,3.4505717754364014
022_b1v.jpg,2.085208633422852,3.756511688232422
023_b2r.jpg,1.8639037895202637,3.435309648513794
024_b2v.jpg,2.0854591979980466,3.71584153175354
025_b3r.jpg,1.862170391082764,3.4667835235595703
026_b3v.jpg,2.136496795654297,3.780750274658203
027_b4r.jpg,2.0880325012207037,3.641993284225464
028_b4v.jpg,2.1318507537841795,3.770658254623413
029_b5r.jpg,2.0581212844848635,3.673358201980591
030_b5v.jpg,2.1318039855957034,3.810060739517212
031_b6r.jpg,1.879360626220703,3.4447522163391118
032_b6v.jpg,2.131037841796875,3.806666612625122
033_b7r.jpg,2.073003616333008,3.716726303100586
034_b7v.jpg,2.133024604797363,3.759269237518311
035_b8r.jpg,2.051903663635254,3.6244282722473145
036_b8v.jpg,2.1337014389038087,3.805675029754639
037_c1r.jpg,1.948139709472656,3.5429060459136963
038_c1v.jpg,2.154547103881836,3.831117868423462
039_c2r.jpg,1.9425309753417968,3.4956562519073486
040_c2v.jpg,2.1337727890014646,3.90005874633789
041_c3r.jpg,1.939839790344238,3.450698137283325
042_c3v.jpg,2.133405670166016,3.800692081451416
043_c4r.jpg,1.939657180786133,3.468860149383545
044_c4v.jpg,2.1352504425048826,3.841139793395996
045_c5r.jpg,1.9386987075805664,3.446960926055908
046_c5v.jpg,2.1344727630615234,3.698274612426758
047_c6r.jpg,1.9380117797851564,3.3882741928100586
048_c6v.jpg,2.135115707397461,3.757582902908325
049_c7r.jpg,1.9418583221435548,3.455955266952514
050_c7v.jpg,2.135218971252441,3.744133234024048
051_c8r.jpg,1.9886171493530271,3.485422849655152
052_c8v.jpg,2.135117660522461,3.7160065174102783
053_d1r.jpg,1.9837143173217773,3.5748209953308105
054_d1v.jpg,2.137607170104981,3.794173240661621
055_d2r.jpg,1.869576171875,3.4260852336883545
056_d2v.jpg,2.136852996826172,3.771732807159424
057_d3r.jpg,1.983750385284424,3.5200366973876958
058_d3v.jpg,2.1372375869750977,3.755037307739258
059_d4r.jpg,2.012312812805176,3.5774893760681152
060_d4v.jpg,2.172719696044922,3.7981770038604736
061_d5r.jpg,2.080264114379883,3.5967564582824707
062_d5v.jpg,2.1689415283203126,3.848822116851807
063_d6r.jpg,2.081248046875,3.651684284210205
064_d6v.jpg,2.168364151000977,3.75146222114563
065_d7r.jpg,2.080059524536133,3.610097169876098
066_d7v.jpg,2.1549217834472656,3.7637805938720703
067_d8r.jpg,1.975670913696289,3.4808712005615234
068_d8v.jpg,2.1664461059570312,3.80278205871582
069_e1r.jpg,2.096439254760742,3.753300428390503
070_e1v.jpg,2.212869689941406,3.86565375328064
071_e2r.jpg,2.0122544097900392,3.5539841651916504
072_e2v.jpg,2.114149703979492,3.771560907363892
