Image Name,GPU Usage Time (s),Total Time (s)
001_Piatto anteriore.jpg,2.645543716430664,4.22998833656311
002_contro piatto anteriore.jpg,2.0843335876464844,3.47851824760437
003_carta di guardia anteriore r.jpg,1.8306275024414065,3.193730354309082
004_carta di guardia anteriore v.jpg,2.126371551513672,3.662078619003296
005_frontespizio  r.jpg,1.962396011352539,3.742003917694092
006_frontespizio v.jpg,1.939773811340332,3.532451868057251
007_a2r.jpg,1.961432876586914,3.797775268554688
008_a2v.jpg,1.9324232063293456,3.5452420711517334
009_a3 r.jpg,1.923352279663086,3.5776138305664062
010_a3v.jpg,1.933838180541992,3.6822590827941895
011_a4 r.jpg,1.902906707763672,3.506222724914551
012_a4v.jpg,1.944089614868164,3.743661403656006
013_a5 r.jpg,1.7912954177856446,3.4492671489715576
014_a5v.jpg,1.930642593383789,3.725367546081543
015_a6 r.jpg,1.7948804626464845,3.46363377571106
016_a6v.jpg,1.9350514373779293,3.7821216583251953
017_a7 r.jpg,1.906014373779297,3.7030959129333496
018_a7v.jpg,1.933275146484375,3.6911211013793945
019_a8 r.jpg,1.9812606353759763,3.719346046447754
020_a8v.jpg,2.1226187133789063,3.947117328643799
021_b1 r.jpg,1.7313736267089843,3.361500740051269
022_b1v.jpg,1.9354578323364255,3.7667813301086426
023_b2r.jpg,1.7283044719696044,3.358162879943848
024_b2v.jpg,1.934851661682129,3.676871538162232
025_b3r.jpg,1.735742919921875,3.4614570140838623
026_b3v.jpg,1.990645477294922,3.7325520515441895
027_b4r.jpg,1.9301354675292968,3.591989517211914
028_b4v.jpg,1.979177619934082,3.733779668807984
029_b5r.jpg,1.915803321838379,3.618250131607056
030_b5v.jpg,2.001249755859375,3.7968924045562735
031_b6r.jpg,1.732865478515625,3.3319523334503174
032_b6v.jpg,1.9794836654663088,3.7456960678100586
033_b7r.jpg,1.9325450668334965,3.6651575565338135
034_b7v.jpg,1.9792940597534177,3.752419233322144
035_b8r.jpg,1.934122703552246,3.651963472366333
036_b8v.jpg,1.9961400070190431,3.75823974609375
037_c1r.jpg,1.8085379333496088,3.517640829086304
038_c1v.jpg,1.980741226196289,3.756990432739258
039_c2r.jpg,1.8095439529418944,3.4434902667999268
040_c2v.jpg,1.9853056106567384,3.823714017868042
041_c3r.jpg,1.8223578338623048,3.462405204772949
042_c3v.jpg,1.98253067779541,3.7429471015930176
043_c4r.jpg,1.8089787826538088,3.4075331687927246
044_c4v.jpg,1.980964683532715,3.759317398071289
045_c5r.jpg,1.808127693176269,3.3668768405914307
046_c5v.jpg,1.979724250793457,3.662471055984497
047_c6r.jpg,1.810662528991699,3.3432412147521973
048_c6v.jpg,1.9802502822875976,3.72146201133728
049_c7r.jpg,1.8165127868652344,3.402851104736328
050_c7v.jpg,1.9809743728637697,3.704600095748901
051_c8r.jpg,1.8480339584350585,3.416372299194336
052_c8v.jpg,1.9808019561767576,3.703171730041504
053_d1r.jpg,1.835866415023804,3.5191800594329834
054_d1v.jpg,1.9815069351196288,3.754270076751709
055_d2r.jpg,1.734689281463623,3.356930494308472
056_d2v.jpg,1.9805193557739256,3.742531776428223
057_d3r.jpg,1.8382500038146972,3.4780049324035645
058_d3v.jpg,1.9811492385864256,3.70448637008667
059_d4r.jpg,1.86483459854126,3.5288400650024414
060_d4v.jpg,2.0495615234375,3.783470869064331
061_d5r.jpg,1.9385870666503904,3.5550696849823
062_d5v.jpg,2.0222220306396483,3.772371530532837
063_d6r.jpg,1.9433809051513675,3.5944364070892334
064_d6v.jpg,2.0194960174560546,3.7215962409973145
065_d7r.jpg,1.939256256103516,3.5501341819763184
