Image Name,GPU Usage Time (s),Total Time (s)
001_Piatto anteriore.jpg,1.5101963806152343,23.362144708633423
002_contro piatto anteriore.jpg,1.4537254638671877,22.18726086616516
003_carta di guardia anteriore r.jpg,1.3710267333984376,22.8581976890564
004_carta di guardia anteriore v.jpg,1.7955934143066403,24.26550531387329
005_frontespizio  r.jpg,1.3879900512695311,24.63035750389099
006_frontespizio v.jpg,1.1361843872070312,24.013262033462524
007_a2r.jpg,1.4451972351074218,24.639232397079468
008_a2v.jpg,1.0556774444580077,24.202215671539307
009_a3 r.jpg,1.2329197082519532,24.327758073806763
010_a3v.jpg,1.0515094146728516,24.71453857421875
011_a4 r.jpg,1.3077274780273438,23.888912439346317
012_a4v.jpg,1.0530979461669925,24.96767902374268
013_a5 r.jpg,1.1986683349609375,23.8517165184021
014_a5v.jpg,1.0517546844482422,25.128064393997192
015_a6 r.jpg,1.1982222595214844,24.241341590881348
016_a6v.jpg,1.0646459197998048,25.010783195495605
017_a7 r.jpg,1.1927934570312502,24.50572824478149
018_a7v.jpg,1.054732894897461,25.021565675735477
019_a8 r.jpg,1.3587686767578124,24.859097242355347
020_a8v.jpg,1.5782647399902343,25.436410188674927
021_b1 r.jpg,0.873578353881836,23.689114332199097
022_b1v.jpg,1.0580150756835938,24.821632385253903
023_b2r.jpg,0.8282172889709473,23.257319450378414
024_b2v.jpg,1.056689712524414,24.898208379745483
025_b3r.jpg,0.8287107238769531,23.52310824394226
026_b3v.jpg,1.257474578857422,24.696802616119385
027_b4r.jpg,1.3464834899902345,23.94847941398621
028_b4v.jpg,1.1913421936035156,24.76618885993957
029_b5r.jpg,1.2422996215820312,24.33742499351501
030_b5v.jpg,1.1921678771972657,24.85989022254944
031_b6r.jpg,0.8970376434326172,23.08438396453857
032_b6v.jpg,1.196697021484375,24.80173349380493
033_b7r.jpg,1.3864917907714844,24.54402732849121
034_b7v.jpg,1.2018396301269532,24.822476148605347
035_b8r.jpg,1.2812192687988282,23.778383255004883
036_b8v.jpg,1.1991984863281249,25.066254377365112
037_c1r.jpg,1.2355205993652345,23.560152053833008
038_c1v.jpg,1.1944408874511718,24.75239300727844
039_c2r.jpg,1.2313851318359377,23.737117290496823
040_c2v.jpg,1.197339111328125,24.7203221321106
041_c3r.jpg,1.2351851501464843,22.98378825187683
042_c3v.jpg,1.1933816528320311,24.69776391983032
043_c4r.jpg,1.2359046325683594,23.632524967193604
044_c4v.jpg,1.1966915283203123,24.67865014076233
045_c5r.jpg,1.2325661315917968,23.221221446990967
046_c5v.jpg,1.1932244262695313,24.567030429840088
047_c6r.jpg,1.2310194091796876,23.09968662261963
048_c6v.jpg,1.1915812377929689,24.55683183670044
049_c7r.jpg,1.23275048828125,23.48076820373535
050_c7v.jpg,1.195443603515625,24.59642505645752
051_c8r.jpg,0.9905076904296874,23.252918481826782
052_c8v.jpg,1.1929873046875,24.701061964035038
053_d1r.jpg,0.9319480667114256,23.75411081314087
054_d1v.jpg,1.1923493041992188,24.827919006347656
055_d2r.jpg,0.8851894912719727,23.3209240436554
056_d2v.jpg,1.1917616577148438,24.69243049621582
057_d3r.jpg,0.923603256225586,23.77423596382141
058_d3v.jpg,1.19094775390625,24.73964762687683
059_d4r.jpg,1.013150390625,23.87204933166504
060_d4v.jpg,1.5430184326171874,24.918750524520878
061_d5r.jpg,1.3124317932128906,24.01850295066833
062_d5v.jpg,1.5065056762695312,25.01431965827942
063_d6r.jpg,1.3099542236328126,24.34505867958069
064_d6v.jpg,1.5048020629882812,24.796303749084476
065_d7r.jpg,1.3094812927246091,23.70794367790222
066_d7v.jpg,1.2328366088867186,24.406017065048218
067_d8r.jpg,1.2794329528808597,23.72821617126465
068_d8v.jpg,1.3767091674804688,24.332481145858765
069_e1r.jpg,1.3857232360839844,24.273014783859253
070_e1v.jpg,1.524807647705078,25.004420280456543
071_e2r.jpg,1.4049385375976562,23.69055485725403
072_e2v.jpg,1.1745867614746093,24.565353631973267
073_e3r.jpg,1.356581237792969,23.58197522163391
074_e3v.jpg,1.054981201171875,24.68711352348328
075_e4r.jpg,1.3540869140625,23.715446710586548
076_e4v.jpg,1.3997227478027343,24.688006162643436
077_e5r.jpg,1.1337586364746093,23.221662521362305
078_e5v.jpg,1.2336719360351562,24.57799458503723
079_e6r.jpg,1.1334709167480468,23.73188066482544
080_e6v.jpg,1.2050717163085936,24.04025721549988
081_e7r.jpg,1.446302917480469,24.584919929504395
082_e7v.jpg,1.0131232757568358,23.468774557113647
083_e8r.jpg,1.4503795166015625,24.694887161254883
084_e8v.jpg,0.9546188354492188,23.723345041275024
085_f1r.jpg,1.403531463623047,24.31735372543335
086_f1v.jpg,1.5212863464355468,24.80214142799377
087_f2r.jpg,1.4222779235839842,24.36624240875244
088_f2v.jpg,1.5223594360351562,24.588133573532104
089_f3r.jpg,1.37671337890625,24.298465490341187
090_f3v.jpg,1.5217496948242188,24.75945353507996
091_f4r.jpg,1.504279083251953,25.105976343154907
092_f4v.jpg,1.1970525207519531,24.19680881500244
093_f5r.jpg,1.3756965637207033,24.212258338928223
094_f5v.jpg,1.1971879882812502,24.69436907768249
095_f6r.jpg,1.4224058837890623,24.31237387657165
096_f6v.jpg,1.1981059265136718,24.402370929718018
097_f7r.jpg,1.422787841796875,24.389411449432373
098_f7v.jpg,1.196716827392578,23.90794038772583
099_f8r.jpg,1.3994705200195312,21.77038049697876
100_f8v.jpg,1.1946812438964844,23.01975679397583
101_g1r.jpg,1.3885822448730467,22.92004680633545
102_g1v.jpg,1.1975476684570312,24.192476987838745
103_g2r.jpg,1.393437072753906,24.193668127059937
104_g2v.jpg,1.1849754638671874,24.004730463027958
105_g3r.jpg,1.4819671630859377,23.85243511199951
106_g3v.jpg,1.1904209899902345,23.211145401000977
107_carta di guardia posteriore r.jpg,0.954285385131836,22.215601682662964
108_carta di guardia posteriore v.jpg,1.1852063598632814,23.192759037017822
109_contropiatto posteriore.jpg,0.9743015747070312,22.604384660720825
110_piatto posteriore.jpg,1.0661790771484376,22.49147772789001
Average,1.2412658379641448,24.12515031857924
